epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,90.5969,0.75864,0.30701,0.36591,0.98084,1.13669,0.90903,0.76993,0.85596,0.73748,0.90903,0.76993,0.85596,0.78628,0.83193,0.55689,0.09118,0.99116,1.21595,0.000213244,0.000213244,0.000213244
75,91.7788,0.68509,0.28103,0.31801,0.86185,1.07018,0.91945,0.77567,0.85741,0.74336,0.91945,0.77567,0.85741,0.78961,0.8554,0.55249,0.08578,0.97538,1.21495,0.000205631,0.000205631,0.000205631
76,92.9628,0.73135,0.3363,0.32086,0.98309,1.11749,0.9642,0.75947,0.85815,0.73327,0.9642,0.75947,0.85815,0.79007,0.86014,0.55672,0.08376,0.9663,1.20704,0.000198018,0.000198018,0.000198018
77,94.1229,0.73118,0.26159,0.3211,0.93601,1.10348,0.96755,0.77327,0.85811,0.73202,0.96755,0.77327,0.85811,0.77948,0.85118,0.5601,0.08524,0.96396,1.19712,0.000190404,0.000190404,0.000190404
78,95.2872,0.64732,0.3363,0.31339,0.83078,1.04393,0.96327,0.79091,0.85677,0.74126,0.96327,0.79091,0.85677,0.77837,0.84884,0.56273,0.08339,0.9763,1.18619,0.000182791,0.000182791,0.000182791
79,96.4574,0.70262,0.31123,0.43218,0.9425,1.09969,0.94815,0.76062,0.84911,0.72845,0.94815,0.76062,0.84911,0.76533,0.84498,0.55687,0.08412,0.991,1.17895,0.000175178,0.000175178,0.000175178
80,97.6299,0.69833,0.29635,0.33291,0.92984,1.07195,0.91244,0.79005,0.84842,0.72505,0.91244,0.79005,0.84842,0.76879,0.84409,0.5537,0.08403,0.99176,1.16741,0.000167565,0.000167565,0.000167565
81,98.8122,0.71842,0.3087,0.38331,0.97769,1.12124,0.92572,0.7932,0.84974,0.72881,0.92572,0.7932,0.84974,0.77014,0.8449,0.54751,0.08331,0.9834,1.16066,0.000159952,0.000159952,0.000159952
82,100.005,0.67799,0.27069,0.32187,0.89484,1.08917,0.93381,0.79388,0.8547,0.73536,0.93381,0.79388,0.8547,0.77541,0.83122,0.54672,0.08395,0.96468,1.14833,0.000152339,0.000152339,0.000152339
83,101.178,0.74006,0.26081,0.37665,0.89231,1.15264,0.94252,0.79432,0.8561,0.74335,0.94252,0.79432,0.8561,0.78117,0.82135,0.54518,0.08304,0.95244,1.13771,0.000144726,0.000144726,0.000144726
84,102.361,0.66845,0.22925,0.31015,0.82871,1.05077,0.94554,0.79545,0.85772,0.73754,0.94554,0.79545,0.85772,0.78291,0.8138,0.54601,0.08102,0.9513,1.13083,0.000137113,0.000137113,0.000137113
85,103.548,0.69851,0.25177,0.30472,0.91361,1.10592,0.94214,0.79545,0.85725,0.73616,0.94214,0.79545,0.85725,0.78535,0.80285,0.54844,0.08141,0.94436,1.12544,0.0001295,0.0001295,0.0001295
86,104.828,0.65466,0.3058,0.31855,0.84523,1.08191,0.94135,0.79545,0.86236,0.74658,0.94135,0.79545,0.86236,0.78664,0.79695,0.55383,0.07708,0.91643,1.13224,0.000121887,0.000121887,0.000121887
87,106.016,0.70936,0.28715,0.3411,0.95829,1.14598,0.93803,0.79545,0.86316,0.74238,0.93803,0.79545,0.86316,0.78822,0.78704,0.55616,0.07509,0.89758,1.13072,0.000114273,0.000114273,0.000114273
88,107.194,0.60564,0.32916,0.36521,0.86632,1.05077,0.93912,0.79545,0.86844,0.75021,0.93912,0.79545,0.86844,0.79235,0.7866,0.55579,0.07542,0.89218,1.1327,0.00010666,0.00010666,0.00010666
89,108.355,0.67665,0.26734,0.33166,0.92094,1.09865,0.93945,0.79545,0.87159,0.76258,0.93945,0.79545,0.87159,0.79572,0.78717,0.55069,0.07414,0.88979,1.13272,9.90472e-05,9.90472e-05,9.90472e-05
90,109.51,0.61622,0.28786,0.31156,0.88885,1.06115,0.93818,0.79545,0.88058,0.7632,0.93818,0.79545,0.88058,0.80359,0.78758,0.54647,0.0718,0.88524,1.13181,9.14341e-05,9.14341e-05,9.14341e-05
91,126.402,0.53765,0.40452,0.09911,0.84712,1.01752,0.93937,0.79545,0.87644,0.75854,0.93937,0.79545,0.87644,0.80199,0.788,0.54629,0.06991,0.9001,1.12764,8.3821e-05,8.3821e-05,8.3821e-05
92,127.566,0.50904,0.37692,0.10065,0.83903,0.98856,0.94472,0.79037,0.87069,0.75275,0.94472,0.79037,0.87069,0.79417,0.78357,0.54818,0.0674,0.90306,1.10905,7.62079e-05,7.62079e-05,7.62079e-05
93,128.737,0.51965,0.36534,0.08466,0.82581,1.00747,0.96197,0.77722,0.87146,0.75196,0.96197,0.77722,0.87146,0.79193,0.77488,0.54696,0.06378,0.89084,1.10381,6.85948e-05,6.85948e-05,6.85948e-05
94,129.907,0.53156,0.39012,0.09686,0.82856,0.9886,0.97698,0.77512,0.86958,0.75705,0.97698,0.77512,0.86958,0.78528,0.76762,0.54766,0.05993,0.88991,1.09914,6.09817e-05,6.09817e-05,6.09817e-05
95,131.06,0.58149,0.39582,0.12288,0.84566,1.05975,0.97421,0.7782,0.86957,0.76296,0.97421,0.7782,0.86957,0.78929,0.75279,0.54233,0.05943,0.87571,1.09076,5.33686e-05,5.33686e-05,5.33686e-05
96,132.227,0.48512,0.3692,0.09038,0.83261,0.98713,0.96796,0.78564,0.87156,0.7612,0.96796,0.78564,0.87156,0.78951,0.75028,0.54132,0.05897,0.89068,1.09093,4.57555e-05,4.57555e-05,4.57555e-05
97,133.362,0.52478,0.34367,0.10921,0.82285,0.97492,0.96763,0.78657,0.87096,0.76378,0.96763,0.78657,0.87096,0.78874,0.74342,0.53879,0.05728,0.88256,1.08926,3.81424e-05,3.81424e-05,3.81424e-05
98,134.506,0.54207,0.43538,0.11856,0.95157,1.0927,0.96893,0.7883,0.87441,0.76221,0.96893,0.7883,0.87441,0.79083,0.73743,0.53875,0.05614,0.86603,1.08717,3.05293e-05,3.05293e-05,3.05293e-05
99,135.652,0.45385,0.39875,0.07743,0.76481,0.9482,0.969,0.78847,0.87635,0.7632,0.969,0.78847,0.87635,0.79499,0.73114,0.5393,0.05585,0.85871,1.08403,2.29162e-05,2.29162e-05,2.29162e-05
100,136.797,0.50563,0.35945,0.06808,0.81554,0.96524,0.96936,0.78533,0.87734,0.76363,0.96936,0.78533,0.87734,0.79553,0.72996,0.53799,0.05558,0.85293,1.08311,1.53031e-05,1.53031e-05,1.53031e-05
